id,Model Predictions,Model Targets,Actual Targets,Classified Targets
027cec30f9,0.99900734,1,1,1
027cf728b9,0.3774139,1,1,1
027d229a6f,0.42695367,1,1,1
027d4b8485,0.40213823,1,1,1
027d757b08,0.51524156,1,0,0
027d8c4c41,0.6990682,1,1,1
027d8e0d1c,0.9586169,1,1,1
027d931ac5,0.41540727,1,0,0
027dd705d4,0.46183923,1,1,1
027ddd3377,0.38638136,1,1,1
027de952ac,0.36204454,1,1,1
027e1d7a21,0.92836076,1,1,1
027e1d96f5,0.4897741,1,1,1
027e5c25c4,0.4967065,1,1,1
027eb10e9d,0.42741597,1,1,1
027ebca4f4,0.4917912,1,1,1
027ed226a5,0.50271285,1,0,0
027ef35958,0.39073825,1,1,1
027efa6098,0.4175356,1,1,1
027f2b21db,0.5017772,1,1,1
027f3ad80c,0.38077557,1,1,1
027f41da01,0.58991957,1,1,1
027f8f43dc,0.42551887,1,0,0
027fa1b624,0.47610185,1,0,0
027fc038d3,0.66171026,1,1,1
027fc04229,0.5287915,1,1,1
0280306c5f,0.50333804,1,1,1
028034c582,0.38391134,1,1,1
02804f1923,0.3469805,1,0,0
0280509fb6,0.42653248,1,1,1
02806958e4,0.5219016,1,0,0
02806f5c48,0.5691398,1,0,0
0280951116,0.41810784,1,0,0
02809b396d,0.89755714,1,1,1
0280c67257,0.6867187,1,1,1
0280d2c3cc,0.46278155,1,1,1
0280e6e867,0.40204138,1,0,0
0280e79d30,0.40021378,1,0,0
0281071ed2,0.40410987,1,0,0
028116b4ec,0.68131423,1,1,1
02813203d7,0.5279204,1,1,1
028141055d,0.46471474,1,1,1
028154df6f,0.9999622,1,1,1
02818a28cc,0.5315363,1,1,1
0281caa0b9,0.5048121,1,0,0
0281f146c1,0.3852304,1,0,0
0281f1f530,0.3728432,1,0,0
0282049751,0.63118804,1,0,0
0282164eca,0.37761578,1,1,1
028224132a,0.39464402,1,1,1
028244ea8b,0.46101397,1,0,0
0282565974,0.36789227,1,0,0
0282a296aa,0.4337875,1,0,0
0282a66536,0.3640501,1,1,1
0282afb7c2,0.7201374,1,0,0
0282b972a4,0.4004571,1,0,0
0282f74400,0.39581573,1,0,0
02831f0594,0.7063292,1,1,1
0283401621,0.48073614,1,0,0
02835279a4,0.3318636,1,0,0
0283a51a10,0.7494034,1,1,1
0283c15ec6,0.40183476,1,1,1
0283cc61b8,0.7303394,1,1,1
0283e5b1da,0.99996996,1,1,1
0283e80459,0.54278994,1,0,0
0283f482cc,0.5164476,1,0,0
0284518881,0.9932577,1,1,1
02845f7451,0.9843085,1,1,1
02848b7ad0,0.37475425,1,0,0
028493f808,0.3774967,1,0,0
0284f90a30,0.5314375,1,0,0
0284fbc34b,0.5502968,1,1,1
028515b4c5,0.38582247,1,0,0
02854bc5ce,0.39566052,1,0,0
02856869f1,0.32420745,1,0,0
028575a4cf,0.43251967,1,0,0
02857fe4d2,0.99997455,1,1,1
028586f745,0.99952334,1,1,1
0285983d0a,0.40096313,1,1,1
0285c334bd,0.70231175,1,1,1
0285e88bad,0.6515171,1,1,1
02860807e9,0.41543382,1,0,0
028642f379,0.3980896,1,1,1
0286744241,0.39351836,1,1,1
02869a1058,0.40353,1,0,0
0286b2e3bf,0.42450947,1,0,0
0286d3c4f2,0.6305514,1,1,1
0286dde437,0.52264076,1,0,0
0286ee4552,0.56902707,1,1,1
0286f14dba,0.5922589,1,1,1
0287195e59,0.52898264,1,0,0
02871ceb0f,0.65395916,1,0,0
028733c7a8,0.69156575,1,0,0
0287484132,0.3778748,1,0,0
028754366d,0.9370562,1,1,1
028766054e,0.4028288,1,1,1
02876cc6f9,0.42606795,1,1,1
0287746fb3,0.999999,1,1,1
0287997076,0.40977722,1,1,1
02879d17d9,0.41458905,1,1,1
0287a4f620,0.4198168,1,1,1
0287d90927,0.99943006,1,1,1
0287da8330,0.37247813,1,1,1
0287e138c0,0.52735054,1,0,0
0288089bb1,0.5214616,1,1,1
028812fa37,0.39010113,1,1,1
02882995d5,0.41245142,1,1,1
02883741e0,0.47599584,1,0,0
028891c4fd,0.5339725,1,0,0
0288a7ca42,0.37620392,1,0,0
0288b073cc,0.99999666,1,1,1
0288e5c7e4,0.81190276,1,1,1
0288edda62,0.99884135,1,1,1
028927deb2,0.40489697,1,0,0
02892ce924,0.5778649,1,1,1
0289920854,0.5269517,1,1,1
0289bdcbda,0.34171617,1,0,0
0289ccccbc,0.39950535,1,0,0
028a516b55,0.5344424,1,0,0
028a6dbc2b,0.41500318,1,0,0
028a6f09e6,0.44553202,1,1,1
028a707264,0.454598,1,0,0
028a797bb8,0.44820458,1,0,0
028a947f18,0.646001,1,1,1
028a99422a,0.71308005,1,1,1
028ae5bc1c,0.3968864,1,0,0
028af1a4ac,0.92683935,1,1,1
028b19524a,0.5240882,1,0,0
028b31ff5b,0.51151025,1,0,0
028b59166c,0.40565568,1,0,0
028bbd4b67,0.39842683,1,0,0
028c08db45,0.42260084,1,1,1
028c343030,0.36495787,1,0,0
028c4edc3d,0.41699585,1,1,1
028c561eae,0.4165462,1,0,0
028c6150e7,0.5050351,1,1,1
028c87aa68,0.59832966,1,0,0
028c90b8ff,0.4652254,1,0,0
028c95c02a,0.47596654,1,0,0
028ccf365a,0.3852275,1,0,0
028cd403e2,0.99865496,1,1,1
028cf9888c,0.43226674,1,0,0
028d089e23,0.38957784,1,1,1
028d0a568e,0.38393718,1,1,1
028d188a45,0.38275716,1,0,0
028d1cd910,0.48741072,1,0,0
028d3d4cb0,0.37879008,1,0,0
028d592118,0.39041448,1,0,0
028d7bc155,0.38268575,1,0,0
028d96251b,0.99999684,1,1,1
028d9bd114,0.548585,1,1,1
028da2e7b0,0.54683745,1,0,0
028dd636dd,0.37996164,1,0,0
028ddc8760,0.38490415,1,0,0
028df8208f,0.33822194,1,0,0
028e1272de,0.99817914,1,1,1
028e2eee1e,0.53943056,1,1,1
028e78ba01,0.3835486,1,1,1
028e803a87,0.58681023,1,1,1
028e8a9da7,0.38247058,1,1,1
028e98068c,0.52799565,1,1,1
028e98b8ca,0.6208131,1,0,0
028eb5dd61,0.40012804,1,0,0
028ed27866,0.35859454,1,0,0
028ed42427,0.6144583,1,1,1
028efb8292,0.3371418,1,0,0
028f04f1a7,0.5275091,1,1,1
028f09b6db,0.51213413,1,0,0
028f46b644,0.999991,1,1,1
028f58f825,0.78021646,1,1,1
028f65702d,0.4265585,1,1,1
028f95f2a7,0.44285133,1,1,1
028f9666a2,0.35591298,1,0,0
028fa41990,0.56118613,1,1,1
028fbe4661,0.4246441,1,1,1
028fc84f0f,0.5755524,1,0,0
028fcc4ef0,0.39829943,1,1,1
028fcd1de0,0.98104906,1,1,1
028fefbd8a,0.57457966,1,0,0
028ffb79d3,0.48291615,1,0,0
029010b0ca,0.4554942,1,0,0
0290124c1c,0.48744714,1,1,1
0290168aaa,0.45998883,1,0,0
029025d6e8,0.4242477,1,0,0
0290447e9f,0.53042006,1,0,0
029056a481,0.36071306,1,0,0
0290988b60,0.37164158,1,0,0
0290a959a7,0.9999727,1,1,1
0290f78b0a,0.46523917,1,1,1
02910b6f6f,0.41209304,1,0,0
0291170ca8,0.5083344,1,1,1
02915d0cdb,0.99999577,1,1,1
