id,Model Predictions,Model Targets,Actual Targets,Classified Targets
1fca0e9a1f,0.23829317,0,0,1
1fca0fe3b6,0.3582241,0,0,1
1fca129128,0.23021773,0,1,0
1fca20e9d0,0.2259511,0,0,1
1fca2327df,0.34704173,0,0,1
1fca805e69,0.33550584,0,0,1
1fca91c764,0.55548567,0,1,0
1fcaa0b1e4,0.14214087,0,0,1
1fcab65c4e,0.23673168,0,0,1
1fcaf3a04f,0.51477784,0,0,1
1fcb24f3e9,0.598477,0,0,1
1fcb26fe6a,0.5780927,0,0,1
1fcb4b4fa5,1.0,1,1,1
1fcb4f8673,0.6878936,1,0,0
1fcb941fdf,0.18931219,0,1,0
1fcb9cbdc0,1.0,1,1,1
1fcbca77d8,0.46483433,0,0,1
1fcbf4504b,0.73596454,1,1,1
1fcbff4809,0.31565407,0,1,0
1fcc23f8ad,0.32599312,0,0,1
1fcc29e068,0.9655921,1,1,1
1fcc451e9c,0.23803416,0,0,1
1fcc6c6d63,0.35713792,0,0,1
1fcc84856b,1.0,1,1,1
1fcc90e6c1,0.29670215,0,1,0
1fcc9db949,0.96003175,1,1,1
1fcca1451c,0.2727807,0,0,1
1fccd07408,0.110464394,0,0,1
1fccf5790e,0.45262808,0,1,0
1fcd545628,0.2236633,0,0,1
1fcd5e3ff3,0.14304617,0,0,1
1fcd843b08,0.18876278,0,1,0
1fcdd70466,0.97211385,1,1,1
1fcdef0832,0.2127878,0,0,1
1fce010ec0,0.29372722,0,0,1
1fce2348dc,0.07421595,0,0,1
1fce3c2b88,0.59566224,0,1,0
1fce5ea93f,0.87849426,1,1,1
1fce62a8bd,0.5763098,0,0,1
1fce726a06,0.185577,0,0,1
1fce78d8cb,0.7011788,1,1,1
1fcebb2e64,0.6423485,1,0,0
1fcee16bf3,0.5224813,0,0,1
1fcee4bd01,0.22936338,0,0,1
1fcefff848,0.16313204,0,0,1
1fcf00b068,0.71072614,1,0,0
1fcf323967,0.10384196,0,0,1
1fcf39c3bf,0.11864814,0,0,1
1fcfa90612,0.30944115,0,0,1
1fcfa951b0,0.9792968,1,1,1
1fd0031d02,1.0,1,1,1
1fd02accb7,0.42095432,0,0,1
1fd0465de4,0.12514058,0,0,1
1fd0574070,0.9999082,1,1,1
1fd08e85b4,0.9989037,1,1,1
1fd0a8ef42,0.46773934,0,0,1
1fd0aab3f0,0.99997574,1,1,1
1fd0bccc47,0.77629924,1,1,1
1fd0dfb123,0.9995681,1,1,1
1fd1125d2c,0.9393689,1,1,1
1fd13e97a8,0.22937131,0,0,1
1fd15a3388,0.21200266,0,0,1
1fd1859e6e,0.4304777,0,1,0
1fd1d7bc83,0.27438217,0,0,1
1fd1dbdb8a,0.42037234,0,0,1
1fd1e77a90,0.999907,1,1,1
1fd1faa37f,0.26750618,0,0,1
1fd1fb23eb,1.0,1,1,1
1fd24d6387,0.08339703,0,0,1
1fd25819ac,0.3456882,0,1,0
1fd25a9704,0.1849978,0,1,0
1fd279e450,0.3064385,0,0,1
1fd28d8336,0.30318332,0,1,0
1fd2adbf76,1.0,1,1,1
1fd2bc2d6a,0.9978915,1,1,1
1fd30588d9,0.5355574,0,1,0
1fd31a87eb,0.9999043,1,1,1
1fd34f4382,0.42261755,0,0,1
1fd396acce,0.15851054,0,0,1
1fd3b26225,0.1303091,0,0,1
1fd3d88db0,0.45224077,0,0,1
1fd417e287,0.9987893,1,1,1
1fd41c68d2,1.0,1,1,1
1fd438fa23,0.2582293,0,0,1
1fd45436c3,0.3515153,0,1,0
1fd46ca318,0.6807284,1,1,1
1fd47883b8,0.24822381,0,0,1
1fd5060399,0.87706876,1,0,0
1fd50e9978,0.33654302,0,1,0
1fd52bd544,0.27577797,0,0,1
1fd5310ba9,0.21879968,0,0,1
1fd5313497,0.5824572,0,0,1
1fd536430e,0.11804196,0,0,1
1fd55c6b27,0.2561261,0,0,1
1fd5676b72,0.99999344,1,1,1
1fd5735490,0.13093129,0,0,1
1fd5860ac5,1.0,1,1,1
1fd5a3b279,0.9376811,1,1,1
1fd5a490fd,0.25150654,0,0,1
1fd5cebaec,0.32550406,0,0,1
1fd5deb2d1,0.56184083,0,0,1
1fd5eb7e34,1.0,1,1,1
1fd62d68f0,0.9613943,1,1,1
1fd64a898d,0.6619428,1,1,1
1fd653bc71,0.97269905,1,1,1
1fd65dc331,0.17027327,0,0,1
1fd6bd8409,1.0,1,1,1
1fd6c5a733,0.27050686,0,0,1
1fd6d7e898,0.3932681,0,1,0
1fd70223b4,0.38304138,0,1,0
1fd7106c98,0.2488957,0,0,1
1fd719fd17,0.63024396,0,1,0
1fd71b5335,0.11734295,0,0,1
1fd72f09be,0.5746696,0,0,1
1fd7512c00,1.0,1,1,1
1fd76ac7f0,0.13213307,0,0,1
1fd7979660,0.2345655,0,0,1
1fd7c12e63,0.77611315,1,0,0
1fd7caa083,0.9999773,1,1,1
1fd7d845fc,0.37948126,0,0,1
1fd7db5212,0.17497799,0,0,1
1fd8479e2d,0.9337916,1,1,1
1fd878fe09,0.513318,0,1,0
1fd87d763c,1.0,1,1,1
1fd8b2ce27,0.99999976,1,1,1
1fd969568d,0.47823006,0,1,0
1fd98d4ff9,0.3897894,0,0,1
1fd9fda9a2,0.1775659,0,0,1
1fda079bf0,0.13932288,0,0,1
1fda0df698,0.41080663,0,0,1
1fda2524f2,1.0,1,1,1
1fda2b79f4,0.22125685,0,0,1
1fda2e16b2,0.34378266,0,0,1
1fda492d31,0.13485548,0,0,1
1fda739fd3,0.20218363,0,0,1
1fda9023f7,0.13088965,0,0,1
1fdae0644c,0.18834364,0,1,0
1fdaf89d89,0.2956371,0,0,1
1fdb068208,0.52415085,0,1,0
1fdb0a2c87,0.40134162,0,0,1
1fdb2866ab,0.99403477,1,1,1
1fdb33bd5b,0.8657745,1,0,0
1fdb3cf621,1.0,1,1,1
1fdb44bff0,0.21411338,0,0,1
1fdb54730d,0.7996652,1,1,1
1fdb7901f3,0.15491524,0,0,1
1fdb812581,0.16731092,0,0,1
1fdbb779b0,0.72788703,1,0,0
1fdbba6885,0.108214825,0,0,1
1fdbfbc5c2,0.9999954,1,1,1
1fdc11c4c8,0.76165146,1,1,1
1fdc15bd3c,0.45798916,0,1,0
1fdc1b5ec7,0.7577991,1,1,1
1fdc3cb21f,0.13192979,0,0,1
1fdc4042da,0.3287019,0,0,1
1fdc46093d,0.5934668,0,1,0
1fdc5673f6,0.4490309,0,0,1
1fdc5ba2ca,0.2951588,0,0,1
1fdc76f665,0.99336743,1,1,1
1fdc991bcf,0.29626644,0,0,1
1fdcac8c4c,0.44678816,0,1,0
1fdccec65b,0.32552767,0,0,1
1fdce3b266,0.63013226,0,1,0
1fdcf507c4,0.6589768,1,1,1
1fdd1dd66d,0.99999964,1,1,1
1fdd27a1db,0.66393584,1,1,1
1fdd43068a,0.790267,1,0,0
1fdd590d9b,0.36337864,0,0,1
1fdd993f05,0.99997616,1,1,1
1fddadcc0e,0.15156043,0,0,1
1fddb06f95,0.15972874,0,0,1
1fddb79e51,0.5772916,0,0,1
1fddc388a7,0.73992336,1,1,1
1fddd5d7ab,0.20322219,0,0,1
1fdde7f21f,0.37714675,0,0,1
1fddfeb0dd,0.99994516,1,1,1
1fde316a4f,0.3568949,0,0,1
1fde34384a,0.71830535,1,0,0
1fde3cf73b,0.10046241,0,0,1
1fde50d2fc,0.9533168,1,1,1
1fde8d75e0,0.15218452,0,0,1
1fde908629,0.15500468,0,1,0
1fdea6552e,0.7245177,1,1,1
1fdf116ed1,1.0,1,1,1
1fdf13baa3,0.3843814,0,0,1
1fdf1d15c5,1.0,1,1,1
1fdf4640f4,0.9999999,1,1,1
1fdf59fa3f,0.42950112,0,0,1
1fdf66f5fa,0.12711012,0,1,0
1fdf837bae,0.21433023,0,0,1
1fdfb3e1e9,0.2943164,0,0,1
1fdfc18d64,0.67266166,1,1,1
1fdfddb42d,0.5732348,0,0,1
1fe02c0e58,0.63534784,0,1,0
1fe04a80cc,0.19049343,0,0,1
1fe057b9a5,0.17375523,0,0,1
1fe091522e,0.928008,1,1,1
1fe0940e20,0.9999994,1,1,1
1fe0c9a3bc,0.1610395,0,0,1
1fe0e79005,0.5448004,0,0,1
1fe10ddf66,0.9990636,1,1,1
1fe14a377b,0.8302172,1,1,1
1fe15eda59,0.28854048,0,0,1
1fe17ddd73,0.8480222,1,0,0
1fe17f8860,1.0,1,1,1
1fe1b5b1c5,0.54927236,0,0,1
1fe1d2b941,0.11718717,0,0,1
1fe1d38eab,0.25551736,0,0,1
1fe1db39cf,0.9997893,1,1,1
1fe22f8939,0.27026904,0,0,1
1fe24f5153,0.97733045,1,1,1
1fe24fe831,0.23740768,0,0,1
1fe25b220e,1.0,1,1,1
1fe261043b,0.99998057,1,1,1
1fe2b43a8a,0.27320057,0,1,0
1fe2c50549,0.18106386,0,0,1
1fe2ca33cb,0.38678363,0,0,1
1fe2caf838,0.6265868,0,0,1
1fe2e54f41,0.25781935,0,0,1
1fe30bc359,0.7024766,1,0,0
1fe3114ea8,0.9146542,1,0,0
1fe3143a9b,0.16047543,0,1,0
1fe314e44a,0.260915,0,1,0
1fe35e0342,0.9444728,1,0,0
1fe38d2ab0,0.9997834,1,1,1
1fe392a212,0.15365896,0,1,0
1fe3b26e0e,0.17542356,0,0,1
1fe3bc3415,0.2948342,0,0,1
1fe3bda09b,0.09294844,0,0,1
1fe3c0f9cf,0.9993304,1,1,1
1fe3ffc09b,0.3326099,0,0,1
1fe403f572,1.0,1,1,1
1fe40d1f10,0.16878137,0,0,1
1fe42a963a,0.13656124,0,0,1
1fe44119fe,0.3053366,0,0,1
1fe44cb8d6,0.07437047,0,0,1
1fe4667a72,0.15932631,0,1,0
1fe4a6807f,1.0,1,1,1
1fe4c971b5,1.0,1,1,1
1fe4cc69e5,1.0,1,1,1
